KaaS_Content_Rendering_MetaData.c(14): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_1996955-1270281-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.23).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.84).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.68).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 6.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 8.00).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 5.00).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 7.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 8.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 5.56).	[MsgId: MWAR-15995]
