kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 7.06, actual time = 7.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.57, actual time = 8.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.73, actual time = 8.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.30, actual time = 7.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.31, actual time = 7.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.75, actual time = 8.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.44, actual time = 7.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.26, actual time = 6.49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.09, actual time = 7.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.19, actual time = 8.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.25, actual time = 6.58).	[MsgId: MWAR-15995]
